Fecha,Hora,Temperatura_C
2026-08-27,16:13:17,20.3
2026-08-27,16:13:17,20.3
2026-08-27,16:13:18,20.3
2026-08-27,16:13:19,20.3
2026-08-27,16:13:20,20.3
2026-08-27,16:13:21,20.3
2026-08-27,16:13:22,20.3
2026-08-27,16:13:24,20.3
2026-08-27,16:13:25,20.3
2026-08-27,16:13:26,20.3
2026-08-27,16:13:27,20.3
2026-08-27,16:13:28,20.3
2026-08-27,16:13:29,20.3
2026-08-27,16:13:30,20.3
2026-08-27,16:13:31,20.3
2026-08-27,16:13:32,20.3
2026-08-27,16:13:33,20.3
2026-08-27,16:13:34,20.3
2026-08-27,16:13:35,20.3
2026-08-27,16:13:36,20.3
2026-08-27,16:13:37,20.3
2026-08-27,16:13:38,20.3
2026-08-27,16:13:39,20.3
2026-08-27,16:13:40,20.3
2026-08-27,16:13:41,20.2
2026-08-27,16:13:42,20.3
2026-08-27,16:13:43,20.3
2026-08-27,16:13:44,20.3
2026-08-27,16:13:45,20.3
2026-08-27,16:13:46,20.2
2026-08-27,16:13:47,20.3
2026-08-27,16:13:48,20.3
2026-08-27,16:13:49,20.3
2026-08-27,16:13:50,20.3
2026-08-27,16:13:51,20.3
2026-08-27,16:13:52,20.3
2026-08-27,16:13:53,20.3
2026-08-27,16:13:54,20.3
2026-08-27,16:13:55,20.3
2026-08-27,16:13:56,20.3
